Suburb Name;source_url;type_of_property;sale_rent;backup water;back-up power;Size;Security;Price;name;Images;Image;garages;floor_size;erf_size;bedrooms;bathrooms
KRAAIFONTEIN;https://www.property24.com/for-sale/windsor-park/kraaifontein/western-cape/8444/112852219;Apartment / Flat;Sale;NULL;NULL;NULL;Electric Gate, Electric fencing;R1 235 000 ;2 Bedroom Apartment / Flat for Sale in Windsor Park;NULL;NULL;NULL;58 m²;NULL;2.0;1.0
KRAAIFONTEIN;https://www.property24.com/for-sale/scottsdene/kraaifontein/western-cape/8438/112858219;Apartment / Flat;Sale;NULL;NULL;NULL;24 Hour Access;R499 000 ;2 Bedroom Apartment / Flat for Sale in Scottsdene;https://images.prop24.com/310079773/Ensure1280x720|https://images.prop24.com/310079774/Ensure1280x720;https://images.prop24.com/310079773/Ensure1280x720;NULL;41 m²;NULL;2.0;1.0
KRAAIFONTEIN;https://www.property24.com/for-sale/buh-rein-estate/kraaifontein/western-cape/12841/112831985;Apartment / Flat;Sale;NULL;NULL;NULL;NULL;R730 000 ;2 Bedroom Apartment / Flat for Sale in Buh Rein Estate;https://images.prop24.com/309616911/Ensure1280x720|https://images.prop24.com/309616912/Ensure1280x720;https://images.prop24.com/309616911/Ensure1280x720;NULL;51 m²;NULL;2.0;1.0
KRAAIFONTEIN;https://www.property24.com/for-sale/kraaifontein-east/kraaifontein/western-cape/25760/112609305;Apartment / Flat;Sale;NULL;NULL;NULL;Security Gate, Electric fencing;R650 000 ;1 Bedroom Apartment / Flat for Sale in Kraaifontein East;NULL;NULL;NULL;35 m²;6 934 m²;1.0;1.0
KRAAIFONTEIN;https://www.property24.com/for-sale/buh-rein-estate/kraaifontein/western-cape/12841/112974252;Apartment / Flat;Sale;NULL;NULL;53 m²;Totally Fenced, Security Gate, 24 Hour Response, 24 Hour Access, Electric fencing, Perimeter Wall;R995 000 ;2 Bedroom Apartment / Flat for Sale in Buh Rein Estate;https://images.prop24.com/311286023/Ensure1280x720|https://images.prop24.com/311286022/Ensure1280x720;https://images.prop24.com/311286023/Ensure1280x720;NULL;NULL;53 m²;2.0;1.0
KRAAIFONTEIN;https://www.property24.com/for-sale/kraaifontein-east/kraaifontein/western-cape/25760/112849876;Apartment / Flat;Sale;NULL;NULL;NULL;Electric fencing;R639 000 ;1 Bedroom Apartment / Flat for Sale in Kraaifontein East;https://images.prop24.com/313422894/Ensure1280x720|https://images.prop24.com/313422895/Ensure1280x720;https://images.prop24.com/313422894/Ensure1280x720;NULL;33 m²;NULL;1.0;1.0
KRAAIFONTEIN;https://www.property24.com/for-sale/buh-rein-estate/kraaifontein/western-cape/12841/112562459;Apartment / Flat;Sale;NULL;NULL;NULL;NULL;R1 240 000 ;2 Bedroom Apartment / Flat for Sale in Buh Rein Estate;https://images.prop24.com/304989209/Ensure1280x720|https://images.prop24.com/304989210/Ensure1280x720;https://images.prop24.com/304989209/Ensure1280x720;NULL;67 m²;NULL;2.0;2.0
KRAAIFONTEIN;https://www.property24.com/for-sale/buh-rein-estate/kraaifontein/western-cape/12841/112627474;Apartment / Flat;Sale;NULL;NULL;NULL;Security;R780 000 ;2 Bedroom Apartment / Flat for Sale in Buh Rein Estate;https://images.prop24.com/306107886/Ensure1280x720|https://images.prop24.com/306107887/Ensure1280x720;https://images.prop24.com/306107886/Ensure1280x720;NULL;50 m²;NULL;2.0;1.0
KRAAIFONTEIN;https://www.property24.com/for-sale/joostenberg/kraaifontein/western-cape/18080/113328491;Apartment / Flat;Sale;NULL;NULL;NULL;NULL;R1 295 000 ;2 Bedroom Apartment / Flat for Sale in Joostenberg;NULL;https://images.prop24.com/315917938/Crop600x400;2.0;63 m²;NULL;2.0;1.0
KRAAIFONTEIN;https://www.property24.com/for-sale/buh-rein-estate/kraaifontein/western-cape/12841/113342874?plId=1432734&plt=4;Apartment / Flat;Sale;NULL;NULL;NULL;NULL;R1 139 000 ;2 Bedroom Apartment / Flat for Sale in Buh Rein Estate;NULL;https://images.prop24.com/316186689/Crop318x212;1.0;53 m²;NULL;2.0;1.0
