source_url,type_of_property,Size,Security,Price,name,Images,Image,garages,floor_size,erf_size,bedrooms,bathrooms
https://www.property24.com/for-sale/athlone/cape-town/western-cape/8734/112605521,House,427 m²,,R 1 750 000,3 Bedroom House for Sale in Athlone,https://images.prop24.com/305715566/Ensure1280x720|https://images.prop24.com/305715567/Ensure1280x720,https://images.prop24.com/305715566/Ensure1280x720,,82 m²,427 m²,3.0,1.0
https://www.property24.com/for-sale/athlone/cape-town/western-cape/8734/111990309,House,496 m²,"Security Gate, Burglar Bars",R 2 649 000,5 Bedroom House for Sale in Athlone,https://images.prop24.com/295226955/Ensure1280x720|https://images.prop24.com/295226953/Ensure1280x720,https://images.prop24.com/295226955/Ensure1280x720,4.0,,496 m²,5.0,2.0
https://www.property24.com/for-sale/athlone/cape-town/western-cape/8734/111972979,House,92 m²,Remote controlled entrance,R 1 265 000,2 Bedroom House for Sale in Athlone,https://images.prop24.com/305686315/Ensure1280x720|https://images.prop24.com/305686234/Ensure1280x720,https://images.prop24.com/305686315/Ensure1280x720,1.0,86 m²,92 m²,2.0,1.0
https://www.property24.com/for-sale/athlone/cape-town/western-cape/8734/112745237,House,225 m²,,R 1 495 000,3 Bedroom House for Sale in Athlone,https://images.prop24.com/313422454/Ensure1280x720|https://images.prop24.com/313422455/Ensure1280x720,https://images.prop24.com/313422454/Ensure1280x720,,,225 m²,3.0,1.0
https://www.property24.com/for-sale/gleemoor/cape-town/western-cape/8747/112738883,House,541 m²,,R 1 699 000,3 Bedroom House for Sale in Gleemoor,https://images.prop24.com/308057983/Ensure1280x720|https://images.prop24.com/308057984/Ensure1280x720,https://images.prop24.com/308057983/Ensure1280x720,,,541 m²,3.0,1.0
https://www.property24.com/for-sale/athlone/cape-town/western-cape/8734/112724477,House,385 m²,,R 1 999 000,3 Bedroom House for Sale in Athlone,https://images.prop24.com/310919431/Ensure1280x720|https://images.prop24.com/310110583/Ensure1280x720,https://images.prop24.com/310919431/Ensure1280x720,1.0,,385 m²,3.0,2.0
https://www.property24.com/for-sale/belgravia/bellville/western-cape/9421/112887934,House,1 983 m²,,R 3 800 000,House for Sale in Belgravia,https://images.prop24.com/311360264/Ensure1280x720|https://images.prop24.com/310505781/Ensure1280x720,https://images.prop24.com/311360264/Ensure1280x720,,,1 983 m²,,
https://www.property24.com/for-sale/blouberg-sands/blouberg/western-cape/11590/112215599,House,804 m²,,R 3 200 000,3 Bedroom House for Sale in Blouberg Sands,https://images.prop24.com/298981809/Ensure1280x720|https://images.prop24.com/298981807/Ensure1280x720,https://images.prop24.com/298981809/Ensure1280x720,1.0,187 m²,804 m²,3.0,3.0
https://www.property24.com/for-sale/blouberg-sands/blouberg/western-cape/11590/112302209,House,660 m²,,R 3 800 000,7 Bedroom House for Sale in Blouberg Sands,https://images.prop24.com/300528458/Ensure1280x720|https://images.prop24.com/300528459/Ensure1280x720,https://images.prop24.com/300528458/Ensure1280x720,2.0,330 m²,660 m²,7.0,4.0
https://www.property24.com/for-sale/blouberg-sands/blouberg/western-cape/11590/112481748,House,670 m²,,R 3 450 000,3 Bedroom House for Sale in Blouberg Sands,https://images.prop24.com/303624418/Ensure1280x720|https://images.prop24.com/303624419/Ensure1280x720,https://images.prop24.com/303624418/Ensure1280x720,2.0,,670 m²,3.0,2.0
https://www.property24.com/for-sale/blouberg-sands/blouberg/western-cape/11590/112381209,House,283 m²,,R 1 845 000,2 Bedroom House for Sale in Blouberg Sands,https://images.prop24.com/301889631/Ensure1280x720|https://images.prop24.com/301889632/Ensure1280x720,https://images.prop24.com/301889631/Ensure1280x720,1.0,85 m²,283 m²,2.0,1.0
https://www.property24.com/for-sale/blouberg-sands/blouberg/western-cape/11590/112710925,House,640 m²,"Totally Fenced, Electric Garage, Security Gate, Burglar Bars, Electric fencing",R 3 495 000,3 Bedroom House for Sale in Blouberg Sands,https://images.prop24.com/307565851/Ensure1280x720|https://images.prop24.com/307565853/Ensure1280x720,https://images.prop24.com/307565851/Ensure1280x720,2.0,250 m²,640 m²,3.0,2.0
https://www.property24.com/for-sale/blouberg-sands/blouberg/western-cape/11590/112677837,House,640 m²,"Totally Fenced, Electric Garage, Alarm System, 24 Hour Response, 24 Hour Access",R 3 495 000,3 Bedroom House for Sale in Blouberg Sands,https://images.prop24.com/306990885/Ensure1280x720|https://images.prop24.com/306990886/Ensure1280x720,https://images.prop24.com/306990885/Ensure1280x720,2.0,234 m²,640 m²,3.0,2.0
https://www.property24.com/for-sale/blouberg-sands/blouberg/western-cape/11590/113010849,House,240 m²,"Alarm System, Burglar Bars, Electric fencing",R 2 100 000,3 Bedroom House for Sale in Blouberg Sands,https://images.prop24.com/311946050/Ensure1280x720|https://images.prop24.com/311946031/Ensure1280x720,https://images.prop24.com/311946050/Ensure1280x720,1.0,84 m²,240 m²,3.0,2.0
https://www.property24.com/for-sale/blouberg-sands/blouberg/western-cape/11590/113094284,House,540 m²,"Security Gate, Alarm System, Burglar Bars",R 2 699 999,3 Bedroom House for Sale in Blouberg Sands,https://images.prop24.com/313301283/Ensure1280x720|https://images.prop24.com/313301284/Ensure1280x720,https://images.prop24.com/313301283/Ensure1280x720,2.0,176 m²,540 m²,3.0,2.0
https://www.property24.com/for-sale/blouberg-sands/blouberg/western-cape/11590/113247232,House,313 m²,,R 2 090 000,3 Bedroom House for Sale in Blouberg Sands,https://images.prop24.com/315975625/Ensure1280x720|https://images.prop24.com/315975626/Ensure1280x720,https://images.prop24.com/315975625/Ensure1280x720,1.0,112 m²,313 m²,3.0,2.0
https://www.property24.com/for-sale/blouberg-sands/blouberg/western-cape/11590/113143851,House,315 m²,"Totally Fenced, Security Gate, Burglar Bars, Perimeter Wall",R 2 000 000,3 Bedroom House for Sale in Blouberg Sands,https://images.prop24.com/314113228/Ensure1280x720|https://images.prop24.com/314113230/Ensure1280x720,https://images.prop24.com/314113228/Ensure1280x720,2.0,140 m²,315 m²,3.0,2.0
https://www.property24.com/for-sale/blouberg-sands/blouberg/western-cape/11590/113123460,House,540 m²,"Totally Fenced, Alarm System, Burglar Bars, Perimeter Wall",R 3 350 000,4 Bedroom House for Sale in Blouberg Sands,https://images.prop24.com/313869089/Ensure1280x720|https://images.prop24.com/313869092/Ensure1280x720,https://images.prop24.com/313869089/Ensure1280x720,2.0,215 m²,540 m²,4.0,3.0
https://www.property24.com/for-sale/blouberg-sands/blouberg/western-cape/11590/113321625,House,313 m²,,R 2 090 000,3 Bedroom House for Sale in Blouberg Sands,https://images.prop24.com/315802282/Ensure1280x720|https://images.prop24.com/315802284/Ensure1280x720,https://images.prop24.com/315802282/Ensure1280x720,1.0,108 m²,313 m²,3.0,2.0
https://www.property24.com/for-sale/blouberg-sands/blouberg/western-cape/11590/113256966,House,266 m²,"Security including alarm, automatic gates and burglar bars",R 2 450 000,3 Bedroom House for Sale in Blouberg Sands,https://images.prop24.com/314969881/Ensure1280x720|https://images.prop24.com/314969882/Ensure1280x720,https://images.prop24.com/314969881/Ensure1280x720,1.0,142 m²,266 m²,3.0,2.0
https://www.property24.com/for-sale/blouberg-sands/blouberg/western-cape/11590/113247644,House,313 m²,,R 2 090 000,3 Bedroom House for Sale in Blouberg Sands,https://images.prop24.com/315129375/Ensure1280x720|https://images.prop24.com/315129376/Ensure1280x720,https://images.prop24.com/315129375/Ensure1280x720,1.0,101 m²,313 m²,3.0,2.0
